Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese
SimpleCampDialogue/CampDial_IzayoiSakuya_Miss_Dialogues_1,Text,,"[B]아, 고마워! 사쿠야가 있으니까 상처도 문제 없어!","[B]Thanks! With you around, injuries don't matter!",[B]啊，谢谢！有咲夜在，感觉受伤都不算问题了呢！,[B]啊，谢谢！有咲夜在，感觉受伤都不算问题了呢！,[B]啊，谢谢！有咲夜在，感觉受伤都不算问题了呢！
SimpleCampDialogue/CampDial_IzayoiSakuya_Miss_Dialogues_2,Text,,"[A]전 의사가 아니에요, 자중하세요……",[A]I'm no doctor. Be careful.,[A]我不是医师，还请自重……,[A]我不是医师，还请自重……,[A]我不是医师，还请自重……
SimpleCampDialogue/CampDial_IzayoiSakuya_Mokou_Dialogues_0,Text,,[A]불을 조종하는 능력이 있으니까 이런 황야에서도 요리하기 편하네요.,[A]Pyrokinesis must be useful for cooking outdoors.,[A]有操纵火焰的能力，在这种荒郊野外做饭也方便多了呢。,[A]有操纵火焰的能力，在这种荒郊野外做饭也方便多了呢。,[A]有操纵火焰的能力，在这种荒郊野外做饭也方便多了呢。
SimpleCampDialogue/CampDial_IzayoiSakuya_Mokou_Dialogues_1,Text,,[B]그렇긴 한데…… 나는 불로불사의 능력을 가지고 있어?,[B]Actually... My power is immortality?,[B]话是这么说啦……但我掌握的是不老不死的能力啊？,[B]话是这么说啦……但我掌握的是不老不死的能力啊？,[B]话是这么说啦……但我掌握的是不老不死的能力啊？
SimpleCampDialogue/CampDial_IzayoiSakuya_Mokou_Dialogues_2,Text,,[A]……어?,[A]...Eh?,[A]……咦？,[A]……咦？,[A]……咦？
SimpleCampDialogue/CampDial_IzayoiSakuya_Mokou_Dialogues_3,Text,,[B]……에?,[B]...Huh?,[B]……诶？,[B]……诶？,[B]……诶？
SimpleCampDialogue/CampDial_IzayoiSakuya_Patchouli_Dialogues_0,Text,,"[A]파츄리 님, 몸은 괜찮으세요?","[A]Lady Patchouli, are you well?",[A]帕秋莉大人，身体还安好吗？,[A]帕秋莉大人，身体还安好吗？,[A]帕秋莉大人，身体还安好吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Patchouli_Dialogues_1,Text,,[B]응. 별일 없어. 「현실 세계」보다 의외로 편안해.,[B]Fine. Strangely easier here than the "real world".,[B]嗯。没什么大碍。比起「现实世界」，意外的轻松呢。,[B]嗯。没什么大碍。比起「现实世界」，意外的轻松呢。,[B]嗯。没什么大碍。比起「现实世界」，意外的轻松呢。
SimpleCampDialogue/CampDial_IzayoiSakuya_Patchouli_Dialogues_2,Text,,[A]그렇다니 다행이에요.,[A]Glad to hear it.,[A]是吗，那就再好不过了。,[A]是吗，那就再好不过了。,[A]是吗，那就再好不过了。
SimpleCampDialogue/CampDial_IzayoiSakuya_Pheonix_Dialogues_0,Text,,"[B]우우우, 빵 주세요——",[B]sob Give me bread—,[B]呜呜呜，请给我面包——,[B]呜呜呜，请给我面包——,[B]呜呜呜，请给我面包——
SimpleCampDialogue/CampDial_IzayoiSakuya_Pheonix_Dialogues_1,Text,,[A]안 돼요. 오늘부터 제가 빵 출납을 엄격히 관리할 거예요.,[A]No. Daily bread rations start today.,[A]不行。从今天开始由我严格管理每日面包出入的数量。,[A]不行。从今天开始由我严格管理每日面包出入的数量。,[A]不行。从今天开始由我严格管理每日面包出入的数量。
SimpleCampDialogue/CampDial_IzayoiSakuya_Pheonix_Dialogues_2,Text,,[B]갸아!,[B]Gah!,[B]嘎啊！,[B]嘎啊！,[B]嘎啊！
SimpleCampDialogue/CampDial_IzayoiSakuya_Priest_Dialogues_0,Text,,[B]너의 운명은 이미 죄악에 물들었어……,[B]Your fate is tainted with sin...,[B]你的命运，已经沾染罪孽……,[B]你的命运，已经沾染罪孽……,[B]你的命运，已经沾染罪孽……
SimpleCampDialogue/CampDial_IzayoiSakuya_Priest_Dialogues_1,Text,,"[A]죄송하지만, 저는 「운명」을 믿지 않아요.",[A]I don't believe in "fate".,[A]抱歉，我不相信什么「命运」。,[A]抱歉，我不相信什么「命运」。,[A]抱歉，我不相信什么「命运」。
SimpleCampDialogue/CampDial_IzayoiSakuya_Red_Dialogues_0,Text,,"[A]태양, 달…… 너희 별 하나가 모자라?","[A]Sun, moon... Need a star sister?",[A]太阳，月亮……你们差一个星星的姐妹吗？,[A]太阳，月亮……你们差一个星星的姐妹吗？,[A]太阳，月亮……你们差一个星星的姐妹吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Red_Dialogues_1,Text,,[B]모자라지 않아. 하지만 방금 별을 쏘는 사람이 날아간 거 아니야?,[B]No! But did someone shooting stars just fly by?,[B]才不差啦。但是刚才是不是有个放出星星的人飞过去了？,[B]才不差啦。但是刚才是不是有个放出星星的人飞过去了？,[B]才不差啦。但是刚才是不是有个放出星星的人飞过去了？
SimpleCampDialogue/CampDial_IzayoiSakuya_Reisen_Dialogues_0,Text,,"[A]레이센, 약 재고는 충분하니?","[A]Reisen, enough medicine?",[A]铃仙，药水的储备量还够吗？,[A]铃仙，药水的储备量还够吗？,[A]铃仙，药水的储备量还够吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Reisen_Dialogues_1,Text,,[B]스승님이 주신 약은 다 썼어……,[B]Used all Master's potions...,[B]师父给我的药已经全部用完了耶……,[B]师父给我的药已经全部用完了耶……,[B]师父给我的药已经全部用完了耶……
SimpleCampDialogue/CampDial_IzayoiSakuya_RemiliaScarlet_Dialogues_0,Text,,"[A]아가씨, 홍차 드세요.","[A]Lady Remilia, your tea.",[A]大小姐，红茶请慢用。,[A]大小姐，红茶请慢用。,[A]大小姐，红茶请慢用。
SimpleCampDialogue/CampDial_IzayoiSakuya_RemiliaScarlet_Dialogues_1,Text,,[B]음…… 「그거」 안 넣었니?,[B]Didn't add "that"?,[B]嗯……没有放「那个」吗？,[B]嗯……没有放「那个」吗？,[B]嗯……没有放「那个」吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_RemiliaScarlet_Dialogues_2,Text,,[A]다른 사람들이 놀랄 거예요. 오늘은 조금 참아주세요.,[A]It would shock others. Endure for today.,[A]会吓到其他人的吧。今天就稍微忍耐一下吧。,[A]会吓到其他人的吧。今天就稍微忍耐一下吧。,[A]会吓到其他人的吧。今天就稍微忍耐一下吧。
SimpleCampDialogue/CampDial_IzayoiSakuya_RemiliaScarlet_Dialogues_3,Text,,[B]내가 「뱀파이어」라는 건 안 무서워하잖아.,[B]Yet no one fears my "vampire" nature.,[B]明明都不会害怕我是个「吸血鬼」耶。,[B]明明都不会害怕我是个「吸血鬼」耶。,[B]明明都不会害怕我是个「吸血鬼」耶。
SimpleCampDialogue/CampDial_IzayoiSakuya_SatsukiRin_Dialogues_0,Text,,"[A]아라, 너는…… 죄송해요, 제가 잘못 봤어요.",[A]Ah... My mistake.,[A]啊拉，你是……抱歉，是我认错了。,[A]啊拉，你是……抱歉，是我认错了。,[A]啊拉，你是……抱歉，是我认错了。
SimpleCampDialogue/CampDial_IzayoiSakuya_SatsukiRin_Dialogues_1,Text,,[B]괜찮아요. 자주 「누군가」랑 닮았다고 하더라고요.,[B]People say I resemble "someone".,[B]没关系。经常有人说我和「某个人」很相似呢。,[B]没关系。经常有人说我和「某个人」很相似呢。,[B]没关系。经常有人说我和「某个人」很相似呢。
SimpleCampDialogue/CampDial_IzayoiSakuya_SilverStein_Dialogues_0,Text,,"[B]전투할 때 조심해, 총알은 눈이 없어.",[B]Watch for bullets in battle!,[B]战斗的时候小心点啊，子弹可是不长眼的。,[B]战斗的时候小心点啊，子弹可是不长眼的。,[B]战斗的时候小心点啊，子弹可是不长眼的。
SimpleCampDialogue/CampDial_IzayoiSakuya_SilverStein_Dialogues_1,Text,,[A]안심하세요. 아무리 빠른 총알도 저를 맞출 수 없어요.,[A]Don't worry. No bullet can hit me.,[A]放心吧。无论多快的子弹都打不中我。,[A]放心吧。无论多快的子弹都打不中我。,[A]放心吧。无论多快的子弹都打不中我。
SimpleCampDialogue/CampDial_IzayoiSakuya_Sizz_Dialogues_0,Text,,"[A]시스, 더 유연한 손가락 기술을 가르쳐줄까요?","[A]Sizz, want to learn finger techniques?",[A]西斯，要我教你更加灵活的手指技法吗？,[A]西斯，要我教你更加灵活的手指技法吗？,[A]西斯，要我教你更加灵活的手指技法吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Sizz_Dialogues_1,Text,,[B]어? 사쿠야 씨가 손가락 기술도 하시나요?,[B]You know sleight of hand?,[B]咦？咲夜小姐还会指法吗？,[B]咦？咲夜小姐还会指法吗？,[B]咦？咲夜小姐还会指法吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Sizz_Dialogues_2,Text,,[A]마술을 할 때 자주 써요.,[A]Essential for magic shows.,[A]表演魔术的时候经常用到呢。,[A]表演魔术的时候经常用到呢。,[A]表演魔术的时候经常用到呢。
SimpleCampDialogue/CampDial_IzayoiSakuya_TouhouAlice_Dialogues_0,Text,,"[A]너는 고민이 별로 없는 것 같아, 좋네.",[A]You seem carefree. Nice.,[A]你看起来好像烦恼很少的样子，真好啊。,[A]你看起来好像烦恼很少的样子，真好啊。,[A]你看起来好像烦恼很少的样子，真好啊。
SimpleCampDialogue/CampDial_IzayoiSakuya_TouhouAlice_Dialogues_1,Text,,"[B]실례야. 별로 없긴, 나는 고민이 없어.",[B]Rude. I simply have no worries.,[B]真失礼啊。不是很少，我根本就没有烦恼。,[B]真失礼啊。不是很少，我根本就没有烦恼。,[B]真失礼啊。不是很少，我根本就没有烦恼。
SimpleCampDialogue/CampDial_IzayoiSakuya_Trisha_Dialogues_0,Text,,[B]아무리 해도 너의 빠른 이동을 따라할 수 없어……,[B]Can't mimic your speed...,[B]不管试多少次都模仿不来你的快速移动……,[B]不管试多少次都模仿不来你的快速移动……,[B]不管试多少次都模仿不来你的快速移动……
SimpleCampDialogue/CampDial_IzayoiSakuya_Trisha_Dialogues_1,Text,,[A]그건 인간이 따라할 수 있는 기술이 아니에요.,[A]It's beyond human technique.,[A]那并非人类能模仿到的技法。,[A]那并非人类能模仿到的技法。,[A]那并非人类能模仿到的技法。
SimpleCampDialogue/CampDial_IzayoiSakuya_Trisha_Dialogues_2,Text,,[B]너는 인간이 아니니?,[B]Aren't you human?,[B]你不是人类吗？,[B]你不是人类吗？,[B]你不是人类吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Trisha_Dialogues_3,Text,,[A]……저도 죽으면 죽어요.,[A]...I can still die.,[A]……我被杀还是会死的哦。,[A]……我被杀还是会死的哦。,[A]……我被杀还是会死的哦。
SimpleCampDialogue/CampDial_IzayoiSakuya_Youmu_Dialogues_0,Text,,[A]스튜 협력 정말 도움이 됐어요.,[A]Your help with stew saved us.,[A]炖菜的协力真是帮大忙了。,[A]炖菜的协力真是帮大忙了。,[A]炖菜的协力真是帮大忙了。
SimpleCampDialogue/CampDial_IzayoiSakuya_Youmu_Dialogues_1,Text,,"[B]사쿠야 씨 너무 예의 바르세요, 사쿠야 씨의 능력이 아니었다면 방금 넘어질 뻔했어요.","[B]Without your time powers, we'd have crashed!",[B]咲夜小姐太客气了，如果不是咲夜小姐的能力，刚才就要翻车了耶。,[B]咲夜小姐太客气了，如果不是咲夜小姐的能力，刚才就要翻车了耶。,[B]咲夜小姐太客气了，如果不是咲夜小姐的能力，刚才就要翻车了耶。
SimpleCampDialogue/CampDial_IzayoiSakuya_Youmu_Dialogues_2,Text,,[A]숲에서 갑자기 풀고슴도치가 튀어나올 줄은……,[A]Never expected a grass hedgehog attack...,[A]没想到树林里会突然冲出来一只草刺猬呢……,[A]没想到树林里会突然冲出来一只草刺猬呢……,[A]没想到树林里会突然冲出来一只草刺猬呢……
SimpleCampDialogue/CampDial_IzayoiSakuya_Youmu_Dialogues_3,Text,,[B]스튜 냄비를 향해 돌진했어요……,[B]Charged straight at the pot...,[B]朝着炖菜锅就冲了过来呢……,[B]朝着炖菜锅就冲了过来呢……,[B]朝着炖菜锅就冲了过来呢……
Skill/S_Sakuya_0_0_Description,Text,,"패의 상단 혹은 하단에 스킬을 1개 놓습니다.
이 스킬이 버려지면 스킬 1개를 뽑습니다.","Move 1 skill to top/bottom of hand. 
When discarded, draw 1 skill and gain 1 <color=#EEE9E9>Time-Stop Dagger</color>.","スキル1枚を手札の一番上か一番下に移す。
このスキルが捨てられたとき、スキルを1枚引き、<color=#EEE9E9>時間停止-フライングナイフ</color>を1ストック得る。","将1个技能放在手牌最上方或手牌最下方。
这个技能被丢弃时，抽取1个技能，获得1把<color=#EEE9E9>时停飞刀</color>。","将1个技能放在手牌最上方或手牌最下方。
这个技能被丢弃时，抽取1个技能，获得1把<color=#EEE9E9>时停飞刀</color>。"
Skill/S_Sakuya_0_0_Name,Text,,시부「체인질링 매직」,Time Sign "Changeling Magic",時符「チェンジリングマジック」,时符「调换魔法」,时符「调换魔法」
Skill/S_Sakuya_0_1_Description,Text,,스킬을 패의 상단으로 올립니다.,Move target skill to top of hand.,対象のスキルを手札の一番上に移す。,将目标技能放在手牌最上方。,将目标技能放在手牌最上方。
Skill/S_Sakuya_0_1_Name,Text,,「체인질링 매직」흑,Time Sign "Changeling Magic Black",チェンジリングマジック·黒,调换魔术·黑,调换魔术·黑
Skill/S_Sakuya_0_2_Description,Text,,스킬을 패의 하단으로 올립니다.,Move target skill to bottom of hand.,対象のスキルを手札の一番下に移す。,将目标技能放在手牌最下方。,将目标技能放在手牌最下方。
Skill/S_Sakuya_0_2_Name,Text,,「체인질링 매직」백,Time Sign "Changeling Magic White",チェンジリングマジック·白,调换魔术·白,调换魔术·白
Skill/S_Sakuya_0_Description,Text,,"「시부「교환 마법」"" 1장을 손에 추가합니다.

<color=#4169E1>월마술</color> - 손에 있는 기술의 수만큼 <color=#EEE9E9>시간 정지 비도</color>를 얻습니다.","Add 1 [Time Sign ""Changeling Magic""] to hand. 

<color=#4169E1>Lunar Magic</color> - Gain <color=#EEE9E9>Time-Stop Daggers</color> equal to hand size.","「時符-チェンジリングマジック」を手札に1枚加える。

<color=#4169E1>ルナマジック</color>：手札にあるスキルの枚数に等しい数の<color=#EEE9E9>時間停止-フライングナイフ</color>のストックを得る。","将1张“时符「调换魔法」”加入手中。

<color=#4169E1>月魔术</color> - 根据手中技能的数量，获得相同数量的<color=#EEE9E9>时停飞刀</color>。","将1张“时符「调换魔法」”加入手中。

<color=#4169E1>月魔术</color> - 根据手中技能的数量，获得相同数量的<color=#EEE9E9>时停飞刀</color>。"
Skill/S_Sakuya_0_Name,Text,,메이드 비기「살인 인형」,Maid Secret Skill "Killing Doll",メイド秘技「殺人ドール」,女仆秘技「杀人玩偶」,女仆秘技「杀人玩偶」
Skill/S_Sakuya_10Rare_Description,Text,,"턴 종료 버튼을 누르면, 추가 턴을 얻습니다.",Gain 1 extra turn after pressing End Turn.,ターン終了を押したとき、追加のターンを獲得する。,按下回合结束按钮后，获得1个额外回合。,按下回合结束按钮后，获得1个额外回合。
Skill/S_Sakuya_10Rare_Name,Text,,「사쿠야의 세계」,Time Sign "Private Square",「咲夜の世界」,「咲夜的世界」,「咲夜的世界」
Skill/S_Sakuya_11Rare_Description,Text,,"모든 <color=#EEE9E9>시간 정지 비도</color>를 소모합니다.
<color=#EEE9E9>시간 정지 비도</color> 1개당 추가 공격을 한 번 더 가해 &a의 피해를 입힙니다<color=#FF7A33>(공격력의 30%)</color>.","Consume all <color=#EEE9E9>Time-Stop Daggers</color>. 
Each dagger adds a Follow-up attack dealing &a damage <color=#FF7A33>(30% of ATK)</color>.","所持する<color=#EEE9E9>時間停止-フライングナイフ</color>をすべて消費する。
消費した<color=#EEE9E9>時間停止-フライングナイフ</color>のストック1ごとに、&a<color=#FF7A33>(攻撃力の30%)</color>のダメージを1回繰り返し与える。","消耗所有<color=#EEE9E9>时停飞刀</color>。
每有1把<color=#EEE9E9>时停飞刀</color>，额外造成一次追加攻击，造成&a伤害<color=#FF7A33>(攻击力的30%)</color>。","消耗所有<color=#EEE9E9>时停飞刀</color>。
每有1把<color=#EEE9E9>时停飞刀</color>，额外造成一次追加攻击，造成&a伤害<color=#FF7A33>(攻击力的30%)</color>。"
Skill/S_Sakuya_11Rare_Name,Text,,환장「밤안개의 환영살인귀」,Buriallusion "Phantomic Killer in Night Mist",幻葬「夜霧の幻影殺人鬼」,幻葬「夜雾幻影杀人鬼」,幻葬「夜雾幻影杀人鬼」
Skill/S_Sakuya_12Rare_Description,Text,,"카운트다운 동안, 패시브 ""시간을 조종하는 정도의 능력"" 효과가 발동되지 않습니다; 자신의 모든 기술이 0비용이 되고, 신속, 카운트다운 1이 부여되며, 어떤 방식으로도 기술을 뽑을 수 없습니다.",TODO,このスキルのカウントダウン中、パッシブの「時間を操る程度の能力」は発動せず、自身のスキルはすべてコストが0になり、カウントダウン1と迅速を得る。またいかなる方法でもスキルを引けない。,倒计时期间，被动“操纵时间程度的能力”效果将不会发动；所有自己的技能变为0费，附加迅速、倒计时1，并且无法以任何方式抽取技能。,倒计时期间，被动“操纵时间程度的能力”效果将不会发动；所有自己的技能变为0费，附加迅速、倒计时1，并且无法以任何方式抽取技能。
Skill/S_Sakuya_12Rare_Name,Text,,은부「퍼펙트 메이드」,Silver Sign "Perfect Maid",銀符「パーフェクトメイド」,银符「完美女仆」,银符「完美女仆」
Skill/S_Sakuya_14Rare_Description,Text,,"가한 피해의 50%만큼 자신을 초과치유합니다.
패에 '시부「체인질링 매직」' 1개를 추가합니다.
[뱀파이어 하트] 1중첩을 얻습니다.","Overheal self for 50% of damage dealt. 
Add 1 [Time Sign ""Changeling Magic""] to hand. 
Gain 1 stack of [Vampire Heart].","自身を与えたダメージの50%でオーバーヒールする。
「時符-チェンジリングマジック」を手札に1枚加える。
[吸血鬼の心]を1ストック得る。","这个伤害的50%超额治疗自己。
将1张[时符「调换魔法」]加入手中。
获得1层[吸血鬼之心]。","这个伤害的50%超额治疗自己。
将1张[时符「调换魔法」]加入手中。
获得1层[吸血鬼之心]。"
Skill/S_Sakuya_14Rare_Name,Text,,환홍부「영원히 붉은날의 광상곡」,Phantom Scarlet Sign "Eternal RedNight Rhapsody",幻紅符「永遠の紅い昼のラプソディ」,幻红符「永恒红昼狂想曲」,幻红符「永恒红昼狂想曲」
Skill/S_Sakuya_1_Description,Text,,"<color=#00BFFF>시계 정지</color> 2층을 얻습니다.

<color=#4169E1>월마술</color> - 비용을 1 감소시키고, 도발을 무시하며, 방어를 무시합니다.","Gain 2 stacks of <color=#00BFFF>Time Stop</color>.

 <color=#4169E1>Lunar Magic</color> - Cost -1, ignores Taunt and Defense.","<color=#00BFFF>タイムストップ</color>を2ストック得る。

<color=#4169E1>ルナマジック</color>：コストが1減少し、挑発無視と防御力を無視するを得る。","获得2层<color=#00BFFF>时钟停摆</color>。

<color=#4169E1>月魔术</color> - 降低1点费用，附带无视嘲讽，并且无视防御。","获得2层<color=#00BFFF>时钟停摆</color>。

<color=#4169E1>月魔术</color> - 降低1点费用，附带无视嘲讽，并且无视防御。"
Skill/S_Sakuya_1_Name,Text,,속부「루미너스 리코셰」,Speed Sign "Luminous Ricochet",速符「ルミネスリコシェ」,速符「闪光弹跳」,速符「闪光弹跳」
Skill/S_Sakuya_2_0_Name,Text,,상부「붉은 혼에 새겨진 상처」,Wound Sign "Inscribe Red Soul",傷符「インスクライブレッドソウル」,伤符「铭刻于红魂」,伤符「铭刻于红魂」
Skill/S_Sakuya_2_Description,Text,,"카운트다운 3으로 1회 추가 발동합니다.

<color=#4169E1>월마술</color> - 카운트다운 5로 1회 추가 발동합니다.","Recast after countdown 3.

<color=#4169E1>Lunar Magic</color> - Recast after countdown 5.","このスキルをカウントダウン3で1回繰り返し発動する。

<color=#4169E1>ルナマジック</color>：このスキルをカウントダウン5で1回繰り返し発動する。","以倒计时3重复释放1次。

<color=#4169E1>月魔术</color> - 以倒计时5重复释放1次。","以倒计时3重复释放1次。

<color=#4169E1>月魔术</color> - 以倒计时5重复释放1次。"
Skill/S_Sakuya_2_Name,Text,,상부「인스크라이브 레드 소울」,Wound Sign "Inscribe Red Soul",傷符「インスクライブレッドソウル」,伤符「铭刻于红魂」,伤符「铭刻于红魂」
Skill/S_Sakuya_3_0_Description,Text,,"카운트가 1이 되면 추가로 %a의 피해를 줍니다.
마술-카운트가 3으로 연장되어 %b의 추가피해를 입힙니다.
카운트동안 목표대상은 15% 증가한 피해를 입습니다.","After 1 Countdown, deal %a damage. 

<color=#4169E1>Lunar Magic</color> - Extend countdown to 3, deal %b damage. Target takes 15% more damage during countdown.","このスキルをカウントダウン1で1回繰り返し発動し、%aのダメージを与える。
<color=#4169E1>ルナマジック</color>：効果を「カウントダウン3、%bのダメージを与える」に変更する。このスキルのカウントダウン中、対象が受けるダメージが15%増加する。","倒计时1后，再造成%a伤害。
月魔术 - 倒计时延长为3，额外造成%b伤害。倒计时期间，目标受到的伤害增加15%。","倒计时1后，再造成%a伤害。
月魔术 - 倒计时延长为3，额外造成%b伤害。倒计时期间，目标受到的伤害增加15%。"
Skill/S_Sakuya_3_0_Name,Text,,환재「클락 콥스」,Illusion Existence "Clock Corpse",幻在「クロックコープス」,幻在「钟表的残骸」,幻在「钟表的残骸」
Skill/S_Sakuya_3_1_Description,Text,,"카운트가 1이 되면 추가로 %a의 피해를 줍니다.
마술-카운트가 3으로 연장되어 %b의 추가피해를 입힙니다.
카운트동안 목표대상은 15% 증가한 피해를 입습니다.","After countdown 1, deal %a damage. 
<color=#4169E1>Lunar Magic</color> - Extend countdown to 3, deal %b damage. Target takes 15% more damage during countdown.","このスキルをカウントダウン1で1回繰り返し発動し、%aのダメージを与える。
<color=#4169E1>ルナマジック</color>：効果を「カウントダウン3、%bのダメージを与える」に変更する。このスキルのカウントダウン中、対象が受けるダメージが15%増加する。","倒计时1后，再造成%a伤害。
月魔术 - 倒计时延长为3，额外造成%b伤害。倒计时期间，目标受到的伤害增加15%。","倒计时1后，再造成%a伤害。
月魔术 - 倒计时延长为3，额外造成%b伤害。倒计时期间，目标受到的伤害增加15%。"
Skill/S_Sakuya_3_1_Name,Text,,환유「잭 더 루도빌레」,Illusion Phantom "Jack the Ludo Bile",幻幽「ジャック・ザ・ルドビレ」,幻幽「迷幻的杰克」,幻幽「迷幻的杰克」
Skill/S_Sakuya_3_Description,Text,,"카운트다운이 1회 지날 때마다, 이 기술의 피해가 &a 감소합니다<color=#FF7A33>(공격력의 50%)</color>.

<color=#4169E1>월마술</color> - 카운트다운 8로 변경됩니다.","Damage decreases by &a <color=#FF7A33>(50% of ATK)</color> per countdown.

<color=#4169E1>Lunar Magic</color> - Changes to countdown 8.","このスキルのダメージは、カウントダウンが1減少するたびに&a<color=#FF7A33>(攻撃力の50%)</color>減少する。

<color=#4169E1>ルナマジック</color>：カウントダウンを8に変更する。","每经过1个倒计时，这个技能的伤害降低&a点<color=#FF7A33>(攻击力的50%)</color>。

<color=#4169E1>月魔术</color> - 变为倒计时8。","每经过1个倒计时，这个技能的伤害降低&a点<color=#FF7A33>(攻击力的50%)</color>。

<color=#4169E1>月魔术</color> - 变为倒计时8。"
Skill/S_Sakuya_3_Name,Text,,환재「클락 콥스」,Illusion Existence "Clock Corpse",幻在「クロックコープス」,幻在「钟表的残骸」,幻在「钟表的残骸」
Skill/S_Sakuya_4_0_Name,Text,,기술「이터널 믹」,Conjuring "Eternal Meek",奇術「エターナルミーク」,奇术「永恒的温柔」,奇术「永恒的温柔」
Skill/S_Sakuya_4_Description,Text,,"이 기술이 기술 효과로 카운트다운이 감소할 때, 카운트다운 바에 카운트다운-1의 복사본을 생성합니다(생성된 복사본은 다시 복사본을 생성할 수 없습니다).","When this skill's countdown is reduced, create a copy with countdown-1 (the generated copy cannot create further copies).",このスキルのカウントダウンが減少したとき、カウントダウン欄にカウントダウンが1減少したこのスキルのコピーを1つ生成する。(生成されたコピーが別のコピーを作ることはない),这个技能因为技能效果降低倒计时时，在倒计时栏中生成1个倒计时-1的复制（生成的复制无法再生成复制）。,这个技能因为技能效果降低倒计时时，在倒计时栏中生成1个倒计时-1的复制（生成的复制无法再生成复制）。
Skill/S_Sakuya_4_Name,Text,,기술「이터널 믹」,Conjuring "Eternal Meek",奇術「エターナルミーク」,奇术「永恒的温柔」,奇术「永恒的温柔」
Skill/S_Sakuya_4_new_Name,Text,,기술「이터널 믹」,Conjuring "Eternal Meek",奇術「エターナルミーク」,奇术「永恒的温柔」,奇术「永恒的温柔」
Skill/S_Sakuya_5_0_Name,Text,,시부「퍼펙트 스퀘어」,Time Sign "Perfect Square",時符「パーフェクトスクウェア」,时符「完美空间」,时符「完美空间」
Skill/S_Sakuya_5_Description,Text,,"카운트 도중 피해를 입을경우 1회 발동합니다.
피해를 받으면 피해량을 0으로 감소시키고 무작위 적에게 %a의 피해를 입힙니다.","During countdown, nullify next damage taken and retaliate with %a damage to random enemy.",このスキルのカウントダウン中にダメージを受けたとき、1回のみそのダメージを0にし、ランダムな敵に1体に%aのダメージを与える。,倒计时期间，自身仅有1次，受到伤害时，使所受的伤害变为0，随后转为对随机敌人造成%a伤害。,倒计时期间，自身仅有1次，受到伤害时，使所受的伤害变为0，随后转为对随机敌人造成%a伤害。
Skill/S_Sakuya_5_Name,Text,,시부「퍼펙트 스퀘어」,Time Sign "Perfect Square",時符「パーフェクトスクウェア」,时符「完美空间」,时符「完美空间」
Skill/S_Sakuya_5_new_Description,Text,,"시부「교환 마법」"" 1장을 손에 추가합니다.
대상이 다른 아군일 경우, 자신의 모든 <color=#EEE9E9>시간 정지 비도</color>를 대상에게 옮기고, 고정 기술을 사용 가능 상태로 만듭니다.","Add 1 [Time Sign ""Changeling Magic""] to hand. 
If targeting ally, transfer all <color=#EEE9E9>Time-Stop Daggers</color> to them and refresh their fixed skills.","「時符-チェンジリングマジック」を手札に1枚加える。
他の味方が対象の場合、自身が持つ<color=#EEE9E9>時間停止-フライングナイフ</color>のストックをすべてその味方に移し、固定能力を使用可能にする。","将1张“时符「调换魔法」”加入手中。
如果目标是其他友军，将自身所有<color=#EEE9E9>时停飞刀</color>转移至目标身上，并使其固定技能变为可用状态。","将1张“时符「调换魔法」”加入手中。
如果目标是其他友军，将自身所有<color=#EEE9E9>时停飞刀</color>转移至目标身上，并使其固定技能变为可用状态。"
Skill/S_Sakuya_5_new_Name,Text,,시부「퍼펙트 스퀘어」,Time Sign "Perfect Square",時符「パーフェクトスクウェア」,时符「完美空间」,时符「完美空间」
Skill/S_Sakuya_6_0_Description,Text,,,,,,
Skill/S_Sakuya_6_0_Name,Text,,기술「환혹 미스디렉션」,Conjuring "Mesmerizing Misdirection",奇術「幻惑ミスディレクション」,奇术「幻惑误导」,奇术「幻惑误导」
Skill/S_Sakuya_6_Description,Text,,"<color=#4169E1>월마술</color> - 대상이 추가로 ""공격을 받을 때, 사쿠야가 공격자에게 반격을 가합니다""를 얻습니다.","<color=#4169E1>Lunar Magic</color> - Grants ""When attacked, Sakuya counterattacks the attacker"".",<color=#4169E1>ルナマジック</color>：[幻惑ミスディレクション]を得る。,<color=#4169E1>月魔术</color> - 使目标额外获得“受到攻击时，十六夜咲夜会对来源进行一次反击”。,<color=#4169E1>月魔术</color> - 使目标额外获得“受到攻击时，十六夜咲夜会对来源进行一次反击”。
Skill/S_Sakuya_6_Name,Text,,기술「미스디렉션」,Conjuring "Misdirection",奇術「ミスディレクション」,奇术「误导」,奇术「误导」
