Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Skill/S_Feiyap_1_Name,Text,,내면의 비야 유파 - 역린참,Inner Feiyap Style - Reverse Scale Slash,裏緋夜流・逆鱗斬,里绯夜流·逆鳞斩,裡緋夜流·逆鱗斬
Skill/S_Feiyap_2_1_Description,Text,,,,,,
Skill/S_Feiyap_2_1_Name,Text,,미완의 이치몬지 · 혈,Unfinished Ichimonji - Blood,未完成の一文字・血,未完成的一文字·血,未完成的一文字·血
Skill/S_Feiyap_2_2_Name,Text,,미완의 이치몬지 · 인,Unfinished Ichimonji - Blade,未完成の一文字・刃,未完成的一文字·刃,未完成的一文字·刃
Skill/S_Feiyap_2_Description,Text,,선택:<BR>- ‘칼날처럼 흐르는 피’ 1중첩 획득<BR>- 대상에게 ‘내면의 불꽃’ 1중첩 부여,"Choose:
- Gain 1 stack of 'Bleed Like Flowing Blades';
- Apply 1 stack of 'Burning Within' to the target.","選択：
- 自身が「血は刃の如し」を1層獲得する；
- 対象に「体内灼焼」を1層付与する。","选择 - 自身获得 1 层“血似刃流”；
对目标施加 1 层“体内灼烧”。","選擇一項：
 - 自身獲得 1 層血似刃流增益。
 - 對目標施加 1 層體内灼燒減益。"
Skill/S_Feiyap_2_Name,Text,,미완의 이치몬지,Unfinished Ichimonji,未完成の一文字,未完成的一文字,未完成的一文字
Skill/S_Feiyap_3_Description,Text,,"자신의 덱과 버린 더미에 있는 모든 스킬(‘우누칼하이’ 제외)을 확인하고, 그중 하나를 손으로 가져옴",View all user's skills in the deck and discard pile (Except "Unukalhai") and select 1 to bring to your hand.,デッキと捨てられたデッキにある自身のスキル（「ウヌク」を除く）を全て公開する。その中から1つを選択して手札に加える。,展示牌库和弃牌库中所有自己的技能（“天市右垣七”除外）。选择其中 1 个拿回手中。,展示牌庫和棄牌堆中所有自身的技能（不包含「天市右垣七」），選擇 1 個加入手中。
Skill/S_Feiyap_3_Name,Text,,우누칼하이,Unukalhai,ウヌク,天市右垣七,天市右垣七
Skill/S_Feiyap_4_Description,Text,,"이 스킬은 보유한 치유 게이지의 <color=#FF7A33>&a(공격력의 10%)</color>배만큼 추가 피해를 입힘<BR>대상에게 고통 디버프가 있을 경우, 중첩당 추가 피해 10%를 입힘","This skill deals additional damage equal to <color=#FF7A33>&a</color> times healing gauge <color=#FF7A33>(10% of Attack Power)</color>.
This skill deals 10% additional damage for each pain debuff on the target.","自身の回復ゲージ1につき、このスキルは<color=#FF7A33>&a</color>の追加ダメージ<color=#FF7A33>(攻撃力の10%)</color>を与える。
対象の苦痛効果1層につき、このスキルは10%の追加ダメージを与える。","自身每有 1 点体力损伤（绿血），这个技能额外造成 <color=#FF7A33>&a</color> 点伤害<color=#FF7A33>(攻击力的10%)</color>。
目标每有 1 层痛苦减益，这个技能额外造成10%伤害。","自身每有 1 點體力極限，這個技能額外造成 <color=#FF7A33>&a</color> 點傷害<color=#FF7A33>(攻擊力的10%)</color>。
目標每有 1 層痛苦減益，此技能的傷害便增加10%。"
Skill/S_Feiyap_4_Name,Text,,천등의 심연,Abyss of a Thousand Lanterns,幽壑千灯,幽壑千灯,幽壑千燈
Skill/S_Feiyap_5_Description,Text,,,,,,
Skill/S_Feiyap_5_Name,Text,,외로운 제비의 시선,Lone Swallow's Glance,孤燕の一瞥,孤燕之瞥,孤燕之瞥
Skill/S_Feiyap_6_Description,Text,,"이번 전투 동안 손에 든 모든 스킬에 무작위 <color=yellow>강화</color>를 적용함<BR>이 스킬이 사용 시 <color=yellow>강화</color>를 가지고 있다면, 덱에 있는 모든 스킬에도 무작위 <color=yellow>강화</color>를 적용함<BR>이미 강화된 스킬은 강화되지 않음","Apply random <color=yellow>skill upgrades</color> to all skills in your hand for this battle.
If this skill has <color=yellow>skill upgrades</color> when used, apply random <color=yellow>skill upgrades</color> to all skills in the deck for this battle.
Cannot upgrade skills that are already upgraded.","手札にある全てのスキルにランダムな<color=yellow>強化</color>を付与する。
このスキルがいずれかの<color=yellow>強化</color>を持っている場合、さらにデッキにある全てのスキルにランダムな<color=yellow>強化</color>を付与する。","使所有手中的技能获得随机<color=yellow>强化</color>。
如果这个技能拥有任意<color=yellow>强化</color>，额外使所有牌库中的技能获得随机<color=yellow>强化</color>。","使手中的所有技能獲得隨機<color=yellow>強化</color>。
若此技能在使用時已持有任意<color=yellow>強化</color>，則使牌庫中的所有技能獲得隨機<color=yellow>強化</color>。"
Skill/S_Feiyap_6_Name,Text,,신성으로 승화,Ascend to Divinity,神となる,化身成神,化身成神
Skill/S_Feiyap_7_0_Name,Text,,환상의 달빛,Illusory Moon,鏡花水月,镜花水月,鏡花水月
Skill/S_Feiyap_7_Description,Text,,사용자의 HP를 0으로 설정하고 모든 <sprite=0>약화 디버프를 제거함<BR>대상의 모든 <sprite=1>고통 및 <sprite=2>방해 디버프를 제거함,"Set the owner's HP to 0, and remove the owner's all <sprite=0>Weak debuffs.
remove all <sprite=1>Pain and <sprite=2>CC debuffs on targets.","自身の体力値を0にし、自身の全ての<sprite=0>衰弱効果を解除する。
全ての対象の<sprite=1>苦痛か<sprite=2>妨害効果を解除する。","使自身体力值变为 0 ，解除自身所有<sprite=0>弱化减益。
解除所有目标的<sprite=1>痛苦减益和<sprite=2>干扰减益。","使此技能持有者的體力值變為 0 點，並解除其所有<sprite=0>弱化減益。
解除目標的所有<sprite=1>痛苦和<sprite=2>干擾減益。"
Skill/S_Feiyap_7_Name,Text,,맑은 정신,Clear Mind,明鏡止水,明镜止水,明鏡止水
Skill/S_Feiyap_8_Description,Text,,대상의 잃은 HP만큼 치유 게이지를 회복함<BR>대상의 모든 과부하를 제거함<BR>제거한 과부하 1중첩당 마나 1 회복,"The target gains Healing Gauge equal to the target's lost HP.
Remove all Overload from the target.
Restore 1 mana for each removed Overload.","対象の回復ゲージを体力上限まで回復させ、対象の全てのオーバーチャージを除去する。
オーバーチャージを1層除去するごとに、法力値を1回復する。","将目标的体力极限恢复至体力上限，并移除目标所有过载。
每移除 1 层过载，恢复 1 点法力值。","使目標獲得相當於目標已損失體力值100%的體力極限，並解除其所有過載。
每移除 1 層過載，便恢復 1 點法力值。"
Skill/S_Feiyap_8_Name,Text,,짧은 휴식,Short Rest,短休,短休,短休
Skill/S_Feiyap_LucyD_1_Description,Text,,"스킬 2장을 뽑음<BR>대상이 치유 게이지 보호 상태일 경우, 추가로 1장을 더 뽑음","Draw 2 skills.
If the target has Healing Gauge Protection, draw 1 additional skill.","スキルを2枚引く。
対象に回復ゲージ保護が存在する場合、さらにスキルを1枚引く。",抽取2个技能。若目标拥有保护体力极限，额外抽取 1 个技能。,"抽取 2 個技能。
若目標有保護體力極限，則多抽取 1 個技能。"
Skill/S_Feiyap_LucyD_1_Name,Text,,오후의 카페에서의 조우,Encounter at the Afternoon Café,午後のカフェでばったり,于午后的咖啡厅偶遇,於午後的咖啡廳偶遇
Skill/S_Feiyap_LucyD_2_Description,Text,,스킬 2장을 뽑음,Draw 2 skills.,スキルを2枚引く。,抽取 2 个技能。,抽取 2 個技能。
Skill/S_Feiyap_LucyD_2_Name,Text,,한밤중 모닥불 곁의 망보기,Night Watch by the Midnight Bonfire,真夜かの篝火の夜番,于午夜的篝火守夜,於午夜的篝火守夜
Skill/S_Feiyap_Rare_1_Description,Text,,,,,,
Skill/S_Feiyap_Rare_1_Name,Text,,붉은 현실,Bloodthirst,渇血症,渴血症,渴血症
Skill/S_Feiyap_Rare_2_0_Description,Text,,대상에게 고통 피해를 입힘. 피해량은 대상이 가진 모든 고통 디버프의 남은 피해량 총합에 해당<BR>영구 디버프는 6턴으로 계산됨,"Deals pain damage equal to the total remaining damage of Pain debuffs.
Permanent debuffs are counted as 6 turns.","ターゲットに与えられた「苦痛効果の継続ダメージ x その効果の持続時間」のダメージの分だけ、追加ダメージを与える。
(持続時間は最大6ターンまで適用される。)","对目标造成 1 次痛苦伤害，伤害量为持有的所有痛苦减益剩余总伤害的值。
持续时间为永久的痛苦减益在计算时被视为 6 回合。","造成目標持有的每回合減益傷害量 x 剩餘回合數的痛苦傷害。
<color=#919191>無限回合數的減益在結算時視為 6 回合。</color>"
Skill/S_Feiyap_Rare_2_0_Name,Text,,낙성의 강림,Falling Star's Descent,星天隕辍,星天陨辍,星天隕輟
Skill/S_Feiyap_Rare_2_Description,Text,,보호 상태일 경우 ‘낙성의 강림’을 생성함,"If the owner has Healing Gauge Protection, generates 'Falling Star's Descent'.",自身に回復ゲージ保護が存在する場合、「星天隕辍」を生成する。,若自身拥有保护体力极限，生成“星天陨辍”。,若自身有保護體力極限，則生成「星天隕輟」。
Skill/S_Feiyap_Rare_2_Name,Text,,고요한 별의 낙하,Silent Starfall,無声星隕,无声星陨,無聲星隕
Skill/S_Feiyap_Rare_3_Description,Text,,자신의 스킬 1개를 뽑는다.,Draw a skill from the deck prioritizing own's skills.,自身のスキルを1枚引く。,抽取 1 个自己的技能。,抽取 1 個自己的技能。
Skill/S_Feiyap_Rare_3_Name,Text,,신의 힘,God Strength,神の力,神之力量,神之力量
SkillExtended/SE_Feiyap_C_0_Des,Text,,,,,,
SkillExtended/SE_Feiyap_C_0_EnforceString,Text,,아군 대상 치유 스킬,Healing skill with one ally,味方を対象とする治療スキル,指向队友的治疗技能,指向友軍的治療技能
SkillExtended/SE_Feiyap_C_0_Name,Text,,2턴간 치유 게이지 보호 부여,Applies Healing Gauge Protection for 2 turns.,持続時間2ターンの回復ゲージ保護を付与する。,施加持续 2 回合的保护体力极限。,施加 2 回合的保護體力極限。
SkillExtended/SE_Feiyap_C_1_EnforceString,Text,,적 대상 공격 스킬,Attack skill with one enemy,敵を対象とする攻撃スキル,指向敌人的攻击技能,指向敵人的攻擊技能
SkillExtended/SE_Feiyap_C_1_Name,Text,,"대상이 고통 디버프를 가지고 있을 경우, 마나 1 회복","If the target has any pain debuff, restores 1 mana.",対象が苦痛効果を所持している場合、法力値を1回復する。,若目标持有痛苦减益，恢复 1 点法力值。,若目標持有痛苦減益，則恢復 1 點法力值。
